1970-01-01 00:11:44 status unpacked libtinyxml2.6.2:armhf 2.6.2-2
1970-01-01 00:11:44 status unpacked libtinyxml2.6.2:armhf 2.6.2-2
1970-01-01 00:11:44 install libyaml-0-2:armhf <none> 0.1.4-3ubuntu3
1970-01-01 00:11:44 status half-installed libyaml-0-2:armhf 0.1.4-3ubuntu3
1970-01-01 00:11:44 status unpacked libyaml-0-2:armhf 0.1.4-3ubuntu3
1970-01-01 00:11:44 status unpacked libyaml-0-2:armhf 0.1.4-3ubuntu3
1970-01-01 00:11:44 install libconsole-bridge0.2:armhf <none> 0.2.5-2
1970-01-01 00:11:44 status half-installed libconsole-bridge0.2:armhf 0.2.5-2
1970-01-01 00:11:45 status unpacked libconsole-bridge0.2:armhf 0.2.5-2
1970-01-01 00:11:45 status unpacked libconsole-bridge0.2:armhf 0.2.5-2
1970-01-01 00:11:45 install liblz4-1:armhf <none> 0.0~r114-2ubuntu1
1970-01-01 00:11:45 status half-installed liblz4-1:armhf 0.0~r114-2ubuntu1
1970-01-01 00:11:45 status unpacked liblz4-1:armhf 0.0~r114-2ubuntu1
1970-01-01 00:11:45 status unpacked liblz4-1:armhf 0.0~r114-2ubuntu1
1970-01-01 00:11:45 install libmpc3:armhf <none> 1.0.1-1ubuntu1
1970-01-01 00:11:45 status half-installed libmpc3:armhf 1.0.1-1ubuntu1
1970-01-01 00:11:45 status unpacked libmpc3:armhf 1.0.1-1ubuntu1
1970-01-01 00:11:45 status unpacked libmpc3:armhf 1.0.1-1ubuntu1
1970-01-01 00:11:45 install libwebp5:armhf <none> 0.4.0-4
1970-01-01 00:11:45 status half-installed libwebp5:armhf 0.4.0-4
1970-01-01 00:11:46 status unpacked libwebp5:armhf 0.4.0-4
1970-01-01 00:11:46 status unpacked libwebp5:armhf 0.4.0-4
1970-01-01 00:11:46 install libwebpmux1:armhf <none> 0.4.0-4
1970-01-01 00:11:46 status half-installed libwebpmux1:armhf 0.4.0-4
1970-01-01 00:11:46 status unpacked libwebpmux1:armhf 0.4.0-4
1970-01-01 00:11:46 status unpacked libwebpmux1:armhf 0.4.0-4
1970-01-01 00:11:46 install ocl-icd-libopencl1:armhf <none> 2.1.3-4
1970-01-01 00:11:46 status half-installed ocl-icd-libopencl1:armhf 2.1.3-4
1970-01-01 00:11:46 status unpacked ocl-icd-libopencl1:armhf 2.1.3-4
1970-01-01 00:11:46 status unpacked ocl-icd-libopencl1:armhf 2.1.3-4
1970-01-01 00:11:46 install binfmt-support:armhf <none> 2.1.4-1
1970-01-01 00:11:46 status half-installed binfmt-support:armhf 2.1.4-1
1970-01-01 00:11:46 status triggers-pending ureadahead:armhf 0.100.0-16
1970-01-01 00:11:47 status half-installed binfmt-support:armhf 2.1.4-1
1970-01-01 00:11:47 status triggers-pending ureadahead:armhf 0.100.0-16
1970-01-01 00:11:47 status unpacked binfmt-support:armhf 2.1.4-1
1970-01-01 00:11:47 status unpacked binfmt-support:armhf 2.1.4-1
1970-01-01 00:11:47 install binutils:armhf <none> 2.24-5ubuntu3
1970-01-01 00:11:47 status half-installed binutils:armhf 2.24-5ubuntu3
1970-01-01 00:11:48 status unpacked binutils:armhf 2.24-5ubuntu3
1970-01-01 00:11:48 status unpacked binutils:armhf 2.24-5ubuntu3
1970-01-01 00:11:49 install cmake-data:all <none> 2.8.12.2-0ubuntu3
1970-01-01 00:11:49 status half-installed cmake-data:all 2.8.12.2-0ubuntu3
